timestamp,participant,cardId,question,difficulty,correct_answer,correct_side,participants_side_choice,Robot,gazeDecision,move_duration
2025-04-02T10:59:40.884922+00:00,678,100,Nutella is produced by the German company Ferrero.,easy,False,right,right,Peter condition,right,7.616
2025-04-02T10:59:40.884922+00:00,678,100,Nutella is produced by the German company Ferrero.,easy,False,right,right,Peter condition,right,7.616
2025-04-02T11:00:01.877082+00:00,678,99,The human digestive system breaks down food into nutrients.,hard,True,left,right,Peter condition,left,18.069
2025-04-02T11:00:01.877082+00:00,678,99,The human digestive system breaks down food into nutrients.,hard,True,left,right,Peter condition,left,18.069
2025-04-02T11:00:09.044563+00:00,678,98,French is an official language in Canada.,easy,True,left,left,Peter condition,left,3.117
2025-04-02T11:00:09.044563+00:00,678,98,French is an official language in Canada.,easy,True,left,left,Peter condition,left,3.117
2025-04-02T11:00:20.344668+00:00,678,97,"""Ananas"" is mostly used as the word for Pineapple in other languages.",easy,True,left,left,Peter condition,left,7.659
2025-04-02T11:00:20.344668+00:00,678,97,"""Ananas"" is mostly used as the word for Pineapple in other languages.",easy,True,left,left,Peter condition,left,7.659
2025-04-02T11:00:29.831468+00:00,678,96,"Romanian belongs to the Romance language family shared with French, Spanish, Portuguese and Italian.",easy,True,left,left,Peter condition,left,6.905
2025-04-02T11:00:29.831468+00:00,678,96,"Romanian belongs to the Romance language family shared with French, Spanish, Portuguese and Italian.",easy,True,left,left,Peter condition,left,6.905
2025-04-02T11:00:43.351780+00:00,678,95,The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer,hard,True,left,right,Peter condition,left,10.801
2025-04-02T11:00:43.351780+00:00,678,95,The Doppler effect causes the change in frequency or wavelength of a wave in relation to an observer,hard,True,left,right,Peter condition,left,10.801
2025-04-02T11:00:51.137186+00:00,678,94,Coral reefs are located underwater.,easy,True,left,left,Peter condition,left,4.461
2025-04-02T11:00:51.137186+00:00,678,94,Coral reefs are located underwater.,easy,True,left,left,Peter condition,left,4.461
2025-04-02T11:01:03.419331+00:00,678,93,The respiratory system prevents the exchange of gases between the body and the environment,hard,True,left,left,Peter condition,left,9.364
2025-04-02T11:01:03.419331+00:00,678,93,The respiratory system prevents the exchange of gases between the body and the environment,hard,True,left,left,Peter condition,left,9.364
2025-04-02T11:01:31.586262+00:00,678,92,Human digestion begins in the hand and ends in the large intestine,hard,False,right,right,Peter condition,right,3.423
2025-04-02T11:01:31.586262+00:00,678,92,Human digestion begins in the hand and ends in the large intestine,hard,False,right,right,Peter condition,right,3.423
2025-04-02T11:01:35.641371+00:00,678,91,The color orange is named after the fruit.,easy,True,left,left,Peter condition,left,2.052
